"Afghanistan","Kabul"
"Malawi","Lilongwe"
"Malaysia","Kuala Lumpur"
"Maledives","Male"
"Mali","Bamako"
"Malta","Valletta"
"Marshall Islands","Majuro"
"Martinique","Fort-de-France"
"Mauretania","Nouakchott"
"Mauritius","Port Louis"
"Mexico","Mexico City"
"Micronesia","Palikir"
"Moldova","Chisinau"
"Monaco","Monaco"
"Mongolia","Ulaanbaatar"
"Montserrat","Plymouth"
"Morocco","Rabat"
"Mozambique","Maputo"
"Namibia","Windhoek"
"Nauru","Yaren"
"Nepal","Kathmandu"
"Netherlands","Amsterdam"
"Netherlands Antilles","Willemstad"
"New Zealand","Wellington"
"Nicaragua","Managua"
"Niger","Niamey"
"Nigeria","Abuja"
"Niue","Alofi"
"Norfolk Island","Kingston"
"Northern Mariana Islands","Saipan"
"North Korea","Pyongyang"
"Norway","Oslo"
"Oman","Muscat"
"Pakistan","Islamabad"
"Palau","Ngerulmud"
"Panama","Panama City"
"Papua New Guinea","Port Moresby"
"Paraquay","Asuncion"
"Peru","Lima"
"Philippines","Manila"
"Pitcairn Islands","Adamstown"
"Poland","Warsaw"
"Portugal","Lisbon"
"Puerto Rico","San Juan"
"Qatar","Doha"                       
"Romania","Bucharest"
"Russia","Moscow"
"Rwanda","Kigali"
"Saint Helena","Jamestown"
"Saint Kitts And Nevis","Basseterre"
"Saint Lucia","Castries"
"Saint Pierre And Miquelon","St. Pierre"
"Saint Vincent And The Grenadines","Kingstown"
"Samoa","Apia"
"San Marino","San Marino"
"Sao Tome And Principe","Sao Tome"
"Saudi Arabia","Riyadh"
"Scotland","Edinburgh"
"Senegal","Dakar"
"Serbia Montenegro","Belgrade"
"Seychelles","Victoria"
"Sierra Leone","Freetown"
"Singapore","Singapore"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"Solomon Islands","Honiara"
"Somalia","Mogadishu"
"South Africa","Pretoria"
"South Georgia","Grytviken"
"South Korea","Seoul"
"Spain","Madrid"
"Sri Lanka","Sri Jayawardenapura Kotte"
"Sudan","Khartoum"
"Suriname","Paramaribo"
"Swaziland","Mbabane"
"Sweden","Stockholm"
"Switzerland","Bern"
"Syria","Damascus"
"Taiwan","Taipei"
"Tajikistan","Dushanbe"
"Tanzania","Dodoma"   
"Thailand","Bangkok"
"Tibet","Lhasa"
"Togo","Lome"
"Tonga","Nukualofa"
"Trinidad And Tobago","Port of Spain"
"Tunisia","Tunis"
"Turkey","Ankara"
"Turkmenistan","Ashgabat"
"Turks And Caicos Islands","Cockburn Town"
"Tuvalu","Funafuti"
"Uganda","Kampala"
"Ukraine","Kiev"
"United Arab Emirates","Abu Dhabi"
"Uruguay","Montevideo"
"Usa","Washington"
"Uzbekistan","Tashkent"
"Vanuatu","Port Vila"
"Vatican City","Vatican City"
"Venezuela","Caracas"
"Vietnam","Hanoi"
"Virgin Islands","Charlotte Amalie"
"Wales","Cardiff"
"Wallis And Futuna","Mata-Utu"
"Yemen","Sanaa"
"Zambia","Lusaka"
"Zimbabwe","Harare"
